timeOfData,time
10/8/2020,0:00:45
10/8/2020,0:02:02
10/8/2020,0:09:00
10/8/2020,0:09:31
10/8/2020,0:09:43
10/8/2020,0:11:29
10/8/2020,0:11:59
10/8/2020,0:16:03
10/8/2020,0:16:34
10/8/2020,0:18:38
10/8/2020,0:19:21
10/8/2020,0:20:49
10/8/2020,0:27:17
10/8/2020,0:27:47
10/8/2020,0:28:51
10/8/2020,0:29:22
10/8/2020,0:30:53
10/8/2020,0:32:52
10/8/2020,0:30:23
10/8/2020,0:44:06
10/8/2020,0:58:32
10/8/2020,0:58:55
10/8/2020,0:59:35
10/8/2020,1:02:02
10/8/2020,1:09:43
10/8/2020,1:12:06
10/8/2020,1:12:10
10/8/2020,1:20:49
10/8/2020,1:21:57
10/8/2020,1:21:13
10/8/2020,1:22:09
10/8/2020,1:22:39
10/8/2020,1:22:54
10/8/2020,1:23:24
10/8/2020,1:30:03
10/8/2020,1:30:34
10/8/2020,1:44:14
10/8/2020,1:44:19
10/8/2020,1:58:57
10/8/2020,1:59:06
10/8/2020,1:59:35
10/8/2020,2:02:02
10/8/2020,2:12:12
10/8/2020,2:09:43
10/8/2020,2:12:51
10/8/2020,2:20:49
10/8/2020,2:40:25
10/8/2020,2:40:56
10/8/2020,2:44:34
10/8/2020,2:47:32
10/8/2020,2:47:02
10/8/2020,2:48:39
10/8/2020,2:49:09
10/8/2020,2:59:16
10/8/2020,2:59:21
10/8/2020,2:59:35
10/8/2020,3:02:02
10/8/2020,3:09:43
10/8/2020,3:12:23
10/8/2020,3:13:33
10/8/2020,3:19:12
10/8/2020,3:20:49
10/8/2020,3:22:04
10/8/2020,3:44:50
10/8/2020,3:59:25
10/8/2020,3:59:35
10/8/2020,4:02:02
10/8/2020,3:59:47
10/8/2020,4:09:43
10/8/2020,4:12:08
10/8/2020,4:12:31
10/8/2020,4:12:38
10/8/2020,4:14:17
10/8/2020,4:20:49
10/8/2020,4:24:36
10/8/2020,4:25:06
10/8/2020,4:45:09
10/8/2020,4:58:44
10/8/2020,4:59:35
10/8/2020,4:59:37
10/8/2020,5:00:11
10/8/2020,5:02:02
10/8/2020,5:09:43
10/8/2020,5:12:41
10/8/2020,5:15:01
10/8/2020,5:20:49
10/8/2020,5:45:28
10/8/2020,5:55:45
10/8/2020,5:56:15
10/8/2020,5:56:42
10/8/2020,5:57:13
10/8/2020,5:59:35
10/8/2020,5:59:47
10/8/2020,6:00:36
10/8/2020,6:02:02
10/8/2020,6:08:47
10/8/2020,6:08:48
10/8/2020,6:09:49
10/8/2020,6:12:51
10/8/2020,6:15:41
10/8/2020,6:19:33
10/8/2020,6:19:34
10/8/2020,6:20:12
10/8/2020,6:20:49
10/8/2020,6:22:06
10/8/2020,6:23:34
10/8/2020,6:28:49
10/8/2020,6:35:10
10/8/2020,6:35:09
10/8/2020,6:43:06
10/8/2020,6:44:02
10/8/2020,6:45:43
10/8/2020,6:44:03
10/8/2020,6:45:44
10/8/2020,6:45:45
10/8/2020,6:52:23
10/8/2020,6:55:27
10/8/2020,6:55:57
10/8/2020,6:57:27
10/8/2020,6:59:35
10/8/2020,6:59:57
10/8/2020,7:01:00
10/8/2020,7:02:02
10/8/2020,7:04:56
10/8/2020,7:04:57
10/8/2020,7:06:06
10/8/2020,7:05:53
10/8/2020,7:06:07
10/8/2020,7:06:24
10/8/2020,7:07:01
10/8/2020,7:07:42
10/8/2020,7:07:43
10/8/2020,7:10:11
10/8/2020,7:10:42
10/8/2020,7:11:57
10/8/2020,7:12:11
10/8/2020,7:10:58
10/8/2020,7:12:27
10/8/2020,7:13:10
10/8/2020,7:13:20
10/8/2020,7:13:40
10/8/2020,7:13:31
10/8/2020,7:13:01
10/8/2020,7:14:23
10/8/2020,7:15:07
10/8/2020,7:14:46
10/8/2020,7:15:56
10/8/2020,7:15:11
10/8/2020,7:15:59
10/8/2020,7:16:35
10/8/2020,7:17:08
10/8/2020,7:20:49
10/8/2020,7:21:20
10/8/2020,7:21:21
10/8/2020,7:26:09
10/8/2020,7:37:04
10/8/2020,7:37:35
10/8/2020,7:40:05
10/8/2020,7:44:37
10/8/2020,7:45:00
10/8/2020,7:45:07
10/8/2020,7:46:01
10/8/2020,7:50:13
10/8/2020,7:50:44
10/8/2020,7:51:22
10/8/2020,7:52:02
10/8/2020,7:51:52
10/8/2020,7:52:52
10/8/2020,7:52:57
10/8/2020,7:55:53
10/8/2020,7:55:59
10/8/2020,7:56:02
10/8/2020,7:56:41
10/8/2020,7:56:53
10/8/2020,7:57:04
10/8/2020,7:57:24
10/8/2020,7:57:52
10/8/2020,7:58:24
10/8/2020,7:57:34
10/8/2020,7:59:23
10/8/2020,7:59:35
10/8/2020,8:02:02
10/8/2020,8:01:25
10/8/2020,8:00:10
10/8/2020,8:05:03
10/8/2020,8:05:22
10/8/2020,8:05:42
10/8/2020,8:06:23
10/8/2020,8:07:58
10/8/2020,8:08:12
10/8/2020,8:09:05
10/8/2020,8:09:07
10/8/2020,8:10:33
10/8/2020,8:10:53
10/8/2020,8:11:28
10/8/2020,8:12:27
10/8/2020,8:11:24
10/8/2020,8:13:47
10/8/2020,8:13:08
10/8/2020,8:13:17
10/8/2020,8:13:48
10/8/2020,8:14:20
10/8/2020,8:15:20
10/8/2020,8:15:52
10/8/2020,8:15:59
10/8/2020,8:16:47
10/8/2020,8:16:30
10/8/2020,8:18:19
10/8/2020,8:19:19
10/8/2020,8:20:09
10/8/2020,8:20:10
10/8/2020,8:20:41
10/8/2020,8:20:49
10/8/2020,8:21:29
10/8/2020,8:21:59
10/8/2020,8:22:10
10/8/2020,8:21:21
10/8/2020,8:22:50
10/8/2020,8:22:53
10/8/2020,8:23:24
10/8/2020,8:24:10
10/8/2020,8:24:57
10/8/2020,8:25:55
10/8/2020,8:27:26
10/8/2020,8:26:17
10/8/2020,8:27:31
10/8/2020,8:25:24
10/8/2020,8:28:22
10/8/2020,8:29:39
10/8/2020,8:30:22
10/8/2020,8:31:25
10/8/2020,8:31:55
10/8/2020,8:33:15
10/8/2020,8:33:46
10/8/2020,8:36:00
10/8/2020,8:37:02
10/8/2020,8:36:51
10/8/2020,8:37:52
10/8/2020,8:37:31
10/8/2020,8:38:41
10/8/2020,8:38:58
10/8/2020,8:39:43
10/8/2020,8:42:15
10/8/2020,8:40:30
10/8/2020,8:42:44
10/8/2020,8:43:15
10/8/2020,8:44:23
10/8/2020,8:45:29
10/8/2020,8:46:18
10/8/2020,8:47:24
10/8/2020,8:46:53
10/8/2020,8:48:35
10/8/2020,8:49:06
10/8/2020,8:51:42
10/8/2020,8:55:06
10/8/2020,8:55:40
10/8/2020,8:56:32
10/8/2020,8:56:42
10/8/2020,8:57:02
10/8/2020,8:57:50
10/8/2020,8:58:04
10/8/2020,8:58:26
10/8/2020,8:58:43
10/8/2020,8:58:49
10/8/2020,8:59:09
10/8/2020,8:59:48
10/8/2020,8:59:54
10/8/2020,8:59:35
10/8/2020,9:00:19
10/8/2020,9:00:21
10/8/2020,9:00:27
10/8/2020,9:00:46
10/8/2020,9:01:11
10/8/2020,9:01:12
10/8/2020,9:01:13
10/8/2020,9:01:10
10/8/2020,9:00:25
10/8/2020,9:01:07
10/8/2020,9:01:14
10/8/2020,9:01:16
10/8/2020,9:01:17
10/8/2020,9:01:36
10/8/2020,9:01:49
10/8/2020,9:02:02
10/8/2020,9:05:37
10/8/2020,9:05:53
10/8/2020,9:06:03
10/8/2020,9:06:07
10/8/2020,9:06:24
10/8/2020,9:07:18
10/8/2020,9:08:52
10/8/2020,9:08:59
10/8/2020,9:08:22
10/8/2020,9:09:08
10/8/2020,9:10:31
10/8/2020,9:11:06
10/8/2020,9:09:29
10/8/2020,9:16:04
10/8/2020,9:20:49
10/8/2020,9:25:11
10/8/2020,9:26:16
10/8/2020,9:25:58
10/8/2020,9:26:17
10/8/2020,9:25:41
10/8/2020,9:26:18
10/8/2020,9:26:19
10/8/2020,9:26:35
10/8/2020,9:26:29
10/8/2020,9:30:01
10/8/2020,9:42:06
10/8/2020,9:42:07
10/8/2020,9:43:25
10/8/2020,9:46:34
10/8/2020,9:53:35
10/8/2020,9:54:00
10/8/2020,9:54:01
10/8/2020,9:54:06
10/8/2020,9:54:13
10/8/2020,9:54:44
10/8/2020,9:54:49
10/8/2020,9:54:50
10/8/2020,9:56:28
10/8/2020,9:56:36
10/8/2020,9:57:15
10/8/2020,9:57:29
10/8/2020,9:57:53
10/8/2020,9:57:54
10/8/2020,9:58:07
10/8/2020,9:58:14
10/8/2020,9:58:08
10/8/2020,9:58:21
10/8/2020,9:58:22
10/8/2020,9:58:28
10/8/2020,9:58:36
10/8/2020,9:59:10
10/8/2020,9:59:11
10/8/2020,9:59:33
10/8/2020,9:59:35
10/8/2020,9:59:46
10/8/2020,9:59:53
10/8/2020,9:59:45
10/8/2020,10:00:04
10/8/2020,10:00:13
10/8/2020,10:00:14
10/8/2020,10:00:32
10/8/2020,10:01:23
10/8/2020,10:01:10
10/8/2020,10:01:09
10/8/2020,10:01:52
10/8/2020,10:02:06
10/8/2020,10:02:02
10/8/2020,10:01:51
10/8/2020,10:02:05
10/8/2020,10:02:54
10/8/2020,10:02:20
10/8/2020,10:03:08
10/8/2020,10:02:14
10/8/2020,10:02:55
10/8/2020,10:06:30
10/8/2020,10:07:41
10/8/2020,10:08:36
10/8/2020,10:08:37
10/8/2020,10:06:31
10/8/2020,10:07:40
10/8/2020,10:08:50
10/8/2020,10:08:43
10/8/2020,10:08:51
10/8/2020,10:09:11
10/8/2020,10:09:32
10/8/2020,10:09:12
10/8/2020,10:10:08
10/8/2020,10:10:07
10/8/2020,10:10:35
10/8/2020,10:09:33
10/8/2020,10:10:36
10/8/2020,10:11:52
10/8/2020,10:10:57
10/8/2020,10:11:53
10/8/2020,10:10:56
10/8/2020,10:12:07
10/8/2020,10:12:06
10/8/2020,10:13:23
10/8/2020,10:13:24
10/8/2020,10:13:45
10/8/2020,10:13:44
10/8/2020,10:16:20
10/8/2020,10:16:37
10/8/2020,10:16:38
10/8/2020,10:16:51
10/8/2020,10:17:10
10/8/2020,10:17:41
10/8/2020,10:17:53
10/8/2020,10:20:18
10/8/2020,10:20:24
10/8/2020,10:20:49
10/8/2020,10:21:06
10/8/2020,10:22:13
10/8/2020,10:31:42
10/8/2020,10:46:53
10/8/2020,10:59:35
10/8/2020,11:00:23
10/8/2020,11:00:40
10/8/2020,11:02:02
10/8/2020,11:02:41
10/8/2020,11:08:47
10/8/2020,11:08:48
10/8/2020,11:12:49
10/8/2020,11:13:01
10/8/2020,11:12:51
10/8/2020,11:13:22
10/8/2020,11:13:32
10/8/2020,11:13:07
10/8/2020,11:14:06
10/8/2020,11:14:07
10/8/2020,11:15:10
10/8/2020,11:15:15
10/8/2020,11:17:15
10/8/2020,11:17:25
10/8/2020,11:17:41
10/8/2020,11:17:52
10/8/2020,11:17:57
10/8/2020,11:18:46
10/8/2020,11:18:01
10/8/2020,11:19:04
10/8/2020,11:19:11
10/8/2020,11:21:55
10/8/2020,11:22:24
10/8/2020,11:21:50
10/8/2020,11:20:10
10/8/2020,11:22:42
10/8/2020,11:20:49
10/8/2020,11:19:53
10/8/2020,11:22:27
10/8/2020,11:24:35
10/8/2020,11:28:03
10/8/2020,11:24:48
10/8/2020,11:28:10
10/8/2020,11:28:23
10/8/2020,11:30:08
10/8/2020,11:30:09
10/8/2020,11:31:43
10/8/2020,11:32:14
10/8/2020,11:32:18
10/8/2020,11:32:24
10/8/2020,11:32:38
10/8/2020,11:32:39
10/8/2020,11:36:32
10/8/2020,11:46:15
10/8/2020,11:45:55
10/8/2020,11:46:33
10/8/2020,11:46:38
10/8/2020,11:46:20
10/8/2020,11:47:28
10/8/2020,11:46:58
10/8/2020,11:47:10
10/8/2020,11:47:12
10/8/2020,11:49:13
10/8/2020,11:51:54
10/8/2020,11:53:24
10/8/2020,11:55:47
10/8/2020,11:56:55
10/8/2020,11:57:23
10/8/2020,11:57:49
10/8/2020,11:58:45
10/8/2020,11:59:12
10/8/2020,11:59:17
10/8/2020,11:59:35
10/8/2020,11:59:54
10/8/2020,11:59:18
10/8/2020,11:59:55
10/8/2020,12:00:13
10/8/2020,12:00:05
10/8/2020,12:00:17
10/8/2020,12:00:26
10/8/2020,12:00:27
10/8/2020,12:00:42
10/8/2020,12:00:49
10/8/2020,12:01:32
10/8/2020,12:00:50
10/8/2020,12:02:02
10/8/2020,12:01:36
10/8/2020,12:03:07
10/8/2020,12:05:40
10/8/2020,12:07:23
10/8/2020,12:05:57
10/8/2020,12:05:15
10/8/2020,12:07:46
10/8/2020,12:08:23
10/8/2020,12:07:54
10/8/2020,12:08:47
10/8/2020,12:07:23
10/8/2020,12:08:44
10/8/2020,12:08:43
10/8/2020,12:08:46
10/8/2020,12:08:46
10/8/2020,12:08:49
10/8/2020,12:08:57
10/8/2020,12:10:41
10/8/2020,12:13:29
10/8/2020,12:10:51
10/8/2020,12:18:08
10/8/2020,12:20:39
10/8/2020,12:20:40
10/8/2020,12:20:47
10/8/2020,12:20:41
10/8/2020,12:20:48
10/8/2020,12:20:49
10/8/2020,12:20:50
10/8/2020,12:21:06
10/8/2020,12:23:04
10/8/2020,12:27:06
10/8/2020,12:27:45
10/8/2020,12:28:14
10/8/2020,12:28:20
10/8/2020,12:28:26
10/8/2020,12:28:30
10/8/2020,12:28:57
10/8/2020,12:29:06
10/8/2020,12:29:10
10/8/2020,12:29:41
10/8/2020,12:30:15
10/8/2020,12:30:55
10/8/2020,12:31:12
10/8/2020,12:32:02
10/8/2020,12:32:21
10/8/2020,12:33:33
10/8/2020,12:33:42
10/8/2020,12:33:50
10/8/2020,12:33:55
10/8/2020,12:34:17
10/8/2020,12:35:39
10/8/2020,12:36:10
10/8/2020,12:35:40
10/8/2020,12:42:10
10/8/2020,12:42:11
10/8/2020,12:42:14
10/8/2020,12:42:23
10/8/2020,12:42:33
10/8/2020,12:42:37
10/8/2020,12:42:38
10/8/2020,12:47:30
10/8/2020,12:53:13
10/8/2020,12:53:43
10/8/2020,12:53:16
10/8/2020,12:54:21
10/8/2020,12:54:25
10/8/2020,12:54:32
10/8/2020,12:54:49
10/8/2020,12:55:04
10/8/2020,12:55:00
10/8/2020,12:55:45
10/8/2020,12:55:35
10/8/2020,12:55:59
10/8/2020,12:56:00
10/8/2020,12:55:02
10/8/2020,12:55:48
10/8/2020,12:56:14
10/8/2020,12:56:04
10/8/2020,12:56:31
10/8/2020,12:56:18
10/8/2020,12:56:15
10/8/2020,12:56:35
10/8/2020,12:56:35
10/8/2020,12:57:42
10/8/2020,12:58:57
10/8/2020,12:57:05
10/8/2020,12:58:13
10/8/2020,12:56:40
10/8/2020,12:59:03
10/8/2020,12:59:35
10/8/2020,12:59:46
10/8/2020,13:00:15
10/8/2020,12:59:32
10/8/2020,13:00:27
10/8/2020,13:00:42
10/8/2020,13:01:04
10/8/2020,13:01:32
10/8/2020,13:00:35
10/8/2020,13:02:02
10/8/2020,13:02:02
10/8/2020,13:02:12
10/8/2020,13:02:08
10/8/2020,13:01:15
10/8/2020,13:04:01
10/8/2020,13:02:19
10/8/2020,13:05:30
10/8/2020,13:04:10
10/8/2020,13:06:14
10/8/2020,13:05:51
10/8/2020,13:06:43
10/8/2020,13:06:10
10/8/2020,13:07:32
10/8/2020,13:07:28
10/8/2020,13:07:58
10/8/2020,13:08:37
10/8/2020,13:09:00
10/8/2020,13:09:12
10/8/2020,13:10:12
10/8/2020,13:10:57
10/8/2020,13:13:34
10/8/2020,13:11:11
10/8/2020,13:13:39
10/8/2020,13:10:15
10/8/2020,13:15:17
10/8/2020,13:15:34
10/8/2020,13:15:59
10/8/2020,13:15:38
10/8/2020,13:17:07
10/8/2020,13:17:22
10/8/2020,13:20:49
10/8/2020,13:21:06
10/8/2020,13:24:53
10/8/2020,13:25:13
10/8/2020,13:27:29
10/8/2020,13:34:57
10/8/2020,13:35:50
10/8/2020,13:35:52
10/8/2020,13:37:45
10/8/2020,13:47:48
10/8/2020,13:56:23
10/8/2020,13:59:35
10/8/2020,14:02:02
10/8/2020,14:04:03
10/8/2020,14:04:19
10/8/2020,14:04:34
10/8/2020,14:05:03
10/8/2020,14:06:25
10/8/2020,14:07:19
10/8/2020,14:08:46
10/8/2020,14:07:55
10/8/2020,14:09:41
10/8/2020,14:10:12
10/8/2020,14:11:10
10/8/2020,14:14:37
10/8/2020,14:15:07
10/8/2020,14:16:51
10/8/2020,14:17:12
10/8/2020,14:18:17
10/8/2020,14:18:03
10/8/2020,14:18:56
10/8/2020,14:16:20
10/8/2020,14:18:47
10/8/2020,14:19:02
10/8/2020,14:19:26
10/8/2020,14:19:42
10/8/2020,14:19:57
10/8/2020,14:20:58
10/8/2020,14:20:34
10/8/2020,14:21:15
10/8/2020,14:20:12
10/8/2020,14:20:49
10/8/2020,14:21:46
10/8/2020,14:22:26
10/8/2020,14:23:03
10/8/2020,14:23:44
10/8/2020,14:21:28
10/8/2020,14:26:22
10/8/2020,14:27:27
10/8/2020,14:27:27
10/8/2020,14:27:58
10/8/2020,14:27:54
10/8/2020,14:29:50
10/8/2020,14:29:51
10/8/2020,14:29:50
10/8/2020,14:29:52
10/8/2020,14:29:53
10/8/2020,14:30:21
10/8/2020,14:29:54
10/8/2020,14:30:23
10/8/2020,14:30:20
10/8/2020,14:30:08
10/8/2020,14:30:23
10/8/2020,14:30:26
10/8/2020,14:32:23
10/8/2020,14:32:33
10/8/2020,14:32:45
10/8/2020,14:32:54
10/8/2020,14:32:49
10/8/2020,14:37:12
10/8/2020,14:37:53
10/8/2020,14:45:41
10/8/2020,14:46:50
10/8/2020,14:47:02
10/8/2020,14:47:10
10/8/2020,14:47:33
10/8/2020,14:48:06
10/8/2020,14:48:46
10/8/2020,14:49:01
10/8/2020,14:49:12
10/8/2020,14:49:27
10/8/2020,14:49:29
10/8/2020,14:50:04
10/8/2020,14:50:20
10/8/2020,14:50:58
10/8/2020,14:51:18
10/8/2020,14:53:30
10/8/2020,14:49:34
10/8/2020,14:51:00
10/8/2020,14:52:59
10/8/2020,14:52:13
10/8/2020,14:52:54
10/8/2020,14:54:21
10/8/2020,14:55:31
10/8/2020,14:56:10
10/8/2020,14:56:32
10/8/2020,14:56:13
10/8/2020,14:56:59
10/8/2020,14:55:53
10/8/2020,14:59:35
10/8/2020,14:59:44
10/8/2020,15:00:15
10/8/2020,15:00:49
10/8/2020,15:01:20
10/8/2020,15:01:38
10/8/2020,15:01:42
10/8/2020,15:02:02
10/8/2020,15:02:04
10/8/2020,15:03:46
10/8/2020,15:03:46
10/8/2020,15:04:17
10/8/2020,15:10:23
10/8/2020,15:15:14
10/8/2020,15:16:58
10/8/2020,15:17:09
10/8/2020,15:17:43
10/8/2020,15:17:16
10/8/2020,15:20:27
10/8/2020,15:20:49
10/8/2020,15:20:52
10/8/2020,15:21:00
10/8/2020,15:22:47
10/8/2020,15:25:39
10/8/2020,15:25:40
10/8/2020,15:25:44
10/8/2020,15:25:48
10/8/2020,15:25:56
10/8/2020,15:26:06
10/8/2020,15:27:05
10/8/2020,15:27:03
10/8/2020,15:27:10
10/8/2020,15:27:12
10/8/2020,15:27:13
10/8/2020,15:27:14
10/8/2020,15:27:29
10/8/2020,15:28:17
10/8/2020,15:30:49
10/8/2020,15:30:52
10/8/2020,15:31:41
10/8/2020,15:31:19
10/8/2020,15:32:43
10/8/2020,15:33:23
10/8/2020,15:35:16
10/8/2020,15:35:19
10/8/2020,15:35:46
10/8/2020,15:36:34
10/8/2020,15:36:50
10/8/2020,15:36:55
10/8/2020,15:37:22
10/8/2020,15:37:55
10/8/2020,15:46:31
10/8/2020,15:46:36
10/8/2020,15:48:25
10/8/2020,15:47:01
10/8/2020,15:51:30
10/8/2020,15:51:35
10/8/2020,15:51:45
10/8/2020,15:52:00
10/8/2020,15:52:38
10/8/2020,15:56:41
10/8/2020,15:59:34
10/8/2020,15:59:58
10/8/2020,15:59:35
10/8/2020,15:59:43
10/8/2020,16:00:00
10/8/2020,15:59:38
10/8/2020,16:02:02
10/8/2020,16:03:01
10/8/2020,16:03:03
10/8/2020,16:00:02
10/8/2020,16:11:01
10/8/2020,16:11:11
10/8/2020,16:20:49
10/8/2020,16:21:19
10/8/2020,16:21:24
10/8/2020,16:22:38
10/8/2020,16:21:50
10/8/2020,16:27:27
10/8/2020,16:28:06
10/8/2020,16:28:17
10/8/2020,16:28:40
10/8/2020,16:30:01
10/8/2020,16:41:16
10/8/2020,16:40:06
10/8/2020,16:41:29
10/8/2020,16:42:14
10/8/2020,16:41:14
10/8/2020,16:45:01
10/8/2020,16:45:36
10/8/2020,16:47:19
10/8/2020,16:47:24
10/8/2020,16:47:50
10/8/2020,16:48:03
10/8/2020,16:48:46
10/8/2020,16:48:25
10/8/2020,16:49:28
10/8/2020,16:49:38
10/8/2020,16:50:31
10/8/2020,16:50:36
10/8/2020,16:50:36
10/8/2020,16:50:40
10/8/2020,16:50:37
10/8/2020,16:51:56
10/8/2020,16:50:33
10/8/2020,16:51:16
10/8/2020,16:52:13
10/8/2020,16:52:44
10/8/2020,16:52:19
10/8/2020,16:53:28
10/8/2020,16:56:51
10/8/2020,16:59:36
10/8/2020,17:02:02
10/8/2020,17:11:40
